Participant,Platform,Sector,Task,Status,Success,Start,End,CompletionTime_sec,CogLoadMean,CogLoadPeak,ConfidenceMean,PupilDiameterMean,PupilLightReflexMean,BrightnessMean,HR_Mean,HR_Peak,IBI_Mean,HR_Baseline,IBI_Baseline,HR_Delta,IBI_Delta,EDA_TonicMean,EDA_PeakRateMean,EDA_PeakRateMax,EDA_ValidRatio,NeutralMean,HappyMean,SadMean,AngryMean,SurprisedMean,ScaredMean,DisgustedMean,ConfusedMean,BoredMean,InterestedMean,NegativeAffectMean,GazeValidCount,GazeValidRatio,FixPointValidCount,FixPointValidRatio,EstimatedFixationEpisodes,EstimatedFixationMeanDuration_ms,Movement_FIXATION_Ratio,Movement_SACCADE_Ratio,Movement_UNDEFINED_Ratio,SourceFile
P01,aade,Public,A1,Success,1,2026-02-05 10:32:30.125001400,2026-02-05 10:33:08.330178400,38.205177,,,,,,,,,,,,,,,,,,0.7086540015229885,0.0002480857183908,0.0167535083908045,0.1394629430172413,0.0026605884482758,0.0002532060057471,0.0203794510632183,0.1374022908620689,0.0,0.0,0.0588653008237547,,,,,,,,,,C:\Users\Theo\Desktop\UX_Analysis_Tool\data\aade\analysis_output\aade_master_dataset.csv
P01,aade,Public,A2,Success,1,2026-02-05 10:33:17.133858400,2026-02-05 10:34:19.940037400,62.806179,0.5115611871543408,1.0,0.0007055201045016,3.4577230464067528,2.633428959043408,207.83842443729904,,,,,,,,,,,,0.7291676173298429,0.0004841304363001,0.0258857910645724,0.0992282408551483,0.0017387029668411,0.0001681787609075,0.013797505026178,0.1780021973472949,1.066544502617801e-06,0.0,0.0463038456486329,1061.0,0.8542673107890499,476.0,0.3832528180354267,30.0,247.56666666666663,0.3832528180354267,0.4710144927536231,0.1457326892109501,C:\Users\Theo\Desktop\UX_Analysis_Tool\data\aade\analysis_output\aade_master_dataset.csv
P01,aade,Public,A3,Success,1,2026-02-05 10:35:30.874131400,2026-02-05 10:36:16.653992400,45.779861,0.2303112156363636,1.0,0.6968040755018182,3.368372580047273,3.211091757785455,202.1789090909091,,,,,,,,,,,,0.6936198657416268,1.4306483253588516e-05,0.0252849531339712,0.1348283244736842,0.0066177343540669,0.0006611409569377,0.003359940645933,0.1829395720813397,0.0,0.0,0.0544910727511961,2456.0,0.893090909090909,1584.0,0.576,61.0,415.4754098360656,0.576,0.3207272727272727,0.1032727272727272,C:\Users\Theo\Desktop\UX_Analysis_Tool\data\aade\analysis_output\aade_master_dataset.csv
P01,aade,Public,A4,Success,1,2026-02-05 10:36:52.930409400,2026-02-05 10:44:46.932435600,474.002026,0.2009233516860819,1.0,0.6969490878536865,3.291013438745116,3.103130881781068,209.7034302304742,,,,,,,,,,,,0.6836661428451581,0.0720152477612655,0.0234835951773729,0.0966588046236816,0.0046281213662511,0.0011030364597315,0.0120062135762224,0.1681642337037937,0.0019284559240196,0.0,0.0440495377924256,23682.0,0.8488476289472741,10665.0,0.3822717660131187,509.0,332.196463654224,0.3822717660131187,0.467328578085236,0.1503996559016452,C:\Users\Theo\Desktop\UX_Analysis_Tool\data\aade\analysis_output\aade_master_dataset.csv
P03,aade,Public,A1,Failed,0,2026-02-27 15:39:45.145932200,2026-02-27 15:40:23.555868200,38.409936,,,,,,,,,,,,,,,,,,0.9285176808857144,0.0058904254857142,0.0026272879142857,0.0031963378571428,0.0558025975142857,0.0033820466571428,0.0012355558,0.0339839465714285,0.0,0.2066773544571428,0.0023530605238095,,,,,,,,,,C:\Users\Theo\Desktop\UX_Analysis_Tool\data\aade\analysis_output\aade_master_dataset.csv
P03,aade,Public,A2,Success,1,2026-02-27 15:40:28.701382200,2026-02-27 15:44:33.079081200,244.377699,0.7477264459512837,1.0,0.0607318793367347,3.696627693469388,2.8170601384282423,210.09537524687292,95.73406809989156,213.183253803095,639.3484811292075,,,,,0.0220903210681251,0.5382025384734868,1.07746324758976,0.5030674846625767,0.92850561743293,0.0260735780589163,0.0024073133403471,0.0064186753235139,0.0277322028932141,0.0009110960073645,0.0031275127459231,0.0223143729825517,0.0,0.251882639214831,0.0039845004699281,10560.0,0.869350456902939,7769.0,0.6395817897423232,368.0,334.67391304347825,0.6395817897423232,0.229604017452869,0.1308141928048077,C:\Users\Theo\Desktop\UX_Analysis_Tool\data\aade\analysis_output\aade_master_dataset.csv
P03,aade,Public,A3,Failed,0,2026-02-27 15:44:58.412834200,2026-02-27 15:46:41.833841400,103.421007,0.3570438432507023,1.0,0.5741649534837217,3.884351738613452,3.501559047820195,199.6035366055197,93.0445660692911,191.982751549665,662.6679005678299,95.99328709901134,629.1862496967623,-2.948721029720246,33.481650871067586,0.0752114690236087,0.4124776962780138,0.543077305260108,0.5772357723577236,0.8534653029010989,0.0308582371208791,0.0017694933736263,0.0183584272197802,0.0942503413846154,0.0072673003956043,0.0025362985934065,0.0140811587542087,0.0,0.3176359564421998,0.0075547397289377,3900.0,0.6445215666831928,2454.0,0.4055528011898859,121.0,320.8512396694215,0.4055528011898859,0.2394645513138324,0.3549826474962816,C:\Users\Theo\Desktop\UX_Analysis_Tool\data\aade\analysis_output\aade_master_dataset.csv
P03,aade,Public,A4,Failed,0,2026-02-27 15:46:50.378755400,2026-02-27 15:48:01.060369200,70.681613,0.2236452470999999,0.80549083,0.8636562726619048,3.579311819797619,3.343218558964286,213.04619047619047,89.57675782078805,103.793119904789,677.4095893689773,98.31100861171949,637.474104060422,-8.734250790931426,39.93548530855537,0.1169267358192689,0.51354004453367,0.60616830946258,1.0,0.8236642385852714,0.0321727219573643,0.0004267321317829,0.0455227688565891,0.0375331988953488,0.0010823495542635,0.0040425645542635,0.0547822527494908,0.0,0.2671629327291242,0.0166640218475452,3782.0,0.9004761904761904,2761.0,0.6573809523809524,136.0,321.16911764705884,0.6573809523809524,0.2433333333333333,0.0992857142857142,C:\Users\Theo\Desktop\UX_Analysis_Tool\data\aade\analysis_output\aade_master_dataset.csv
P04,aade,Public,A1,Failed,0,2026-03-03 16:57:52.617803800,2026-03-03 17:01:00.915048800,188.297245,0.4554731485905546,1.0,0.0353330974871266,3.5718482165749594,2.8287574022156834,201.40664999264385,106.55543173376152,188.488373252383,588.422842979121,,,,,0.5882771978203594,0.0,0.0,0.7841726618705036,0.5795358565828804,0.009903473111413,0.1769891316508152,0.0204122938858695,0.0032230022214673,0.0074753806317934,0.0330532364130434,0.0278569814907275,0.0489086497076461,0.0433264955634807,0.0768182206499094,2068.0,0.3041623768201206,303.0,0.0445653772613619,20.0,235.35,0.0445653772613619,0.2606265627298132,0.6948080600088248,C:\Users\Theo\Desktop\UX_Analysis_Tool\data\aade\analysis_output\aade_master_dataset.csv
P04,aade,Public,A2,Success,1,2026-03-03 17:01:07.287351800,2026-03-03 17:02:47.804873000,100.517521,0.2175560560217278,0.74724902,0.4327882885807897,3.1270351236126914,2.900589081964132,213.7384031729609,92.08633535003663,108.579580623741,655.5193643885866,141.637166474365,442.96608942205256,-49.55083112432834,212.55327496653405,0.6379132278913315,0.0,0.0,1.0,0.6607132049288486,0.0123080316300129,0.1437898819275549,0.0221177374902975,0.0234689602846054,0.0043652508538163,0.0132780627684346,0.0131577514742698,0.0835760775212464,0.0224265500973574,0.0597285607287624,3104.0,0.5352647008104846,996.0,0.1717537506466632,57.0,274.140350877193,0.1717537506466632,0.3629936195895844,0.4652526297637523,C:\Users\Theo\Desktop\UX_Analysis_Tool\data\aade\analysis_output\aade_master_dataset.csv
